代码		简称		最新价	涨跌幅	涨跌额	5分钟涨幅	成交量(手)
000069	华侨城Ａ	10.22	5.69%	0.55	-0.10%		1826695.83
600068	葛洲坝	8.91	5.69%	0.48	0.00%		1176275.80
300288	朗玛信息	25.19	5.66%	1.35	0.20%		105382.18
600291	西水股份	25.81	5.65%	1.38	-0.15%		515551.75
300227	光韵达	22.13	5.63%	1.18	-0.14%		38830.18
002846	英联股份	18.36	5.58%	0.97	-0.16%		78007.00
601009	南京银行	8.99	5.52%	0.47	0.22%		2420560.60
300313	天山生物	12.54	5.47%	0.65	0.32%		48127.81
300313	天山生物	12.54	5.47%	0.65	0.32%		48127.81
300508	维宏股份	73.29	5.47%	3.80	0.16%		8470.64
603396	金辰股份	45.15	5.47%	2.34	0.58%		33478.90
300649	杭州园林	36.70	5.40%	1.88	-0.24%		50870.77
300590	移为通信	27.08	5.37%	1.38	0.30%		50145.00
600050	中国联通	6.81	5.26%	0.34	0.00%		4735360.24
002852	道道全	33.42	5.23%	1.66	0.09%		23813.27
002445	中南文化	12.90	5.22%	0.64	0.00%		63634.20
002679	福建金森	21.96	5.22%	1.09	-0.14%		33880.73
300136	信维通信	43.73	5.22%	2.17	-0.16%		209117.37
600692	亚通股份	11.49	5.22%	0.57	0.26%		361967.97
300131	英唐智控	7.08	5.20%	0.35	-0.28%		140900.45
002320	海峡股份	24.30	5.19%	1.20	-0.04%		191090.28
603359	东珠景观	34.87	5.16%	1.71	-0.11%		41582.80
300672	国科微	59.40	5.15%	2.91	-0.17%		37106.46
002307	北新路桥	12.40	5.08%	0.60	0.08%		350224.90
603398	邦宝益智	17.12	5.03%	0.82	0.94%		31371.55
603458	勘设股份	72.91	5.01%	3.48	-0.03%		23723.59
300110	华仁药业	15.97	5.00%	0.76	0.44%		65897.14
000048	康达尔	21.05	4.99%	1.00	0.24%		12011.11
002248	*ST东数	10.30	4.99%	0.49	0.00%		102185.00
002698	博实股份	10.53	4.99%	0.50	0.19%		37032.27
300480	光力科技	17.28	4.98%	0.82	0.12%		21311.80
603016	新宏泰	24.45	4.98%	1.16	0.66%		43420.76
002917	金奥博	32.33	4.90%	1.51	0.09%		112516.21
300603	立昂技术	33.16	4.84%	1.53	-0.03%		25434.17
300316	晶盛机电	19.70	4.79%	0.90	0.00%		268530.07
300689	澄天伟业	43.62	4.76%	1.98	0.28%		30908.21
300735	光弘科技	28.03	4.75%	1.27	0.65%		272030.81
601881	中国银河	11.26	4.74%	0.51	0.00%		860175.51
300004	南风股份	11.12	4.71%	0.50	-0.27%		154262.07
300004	南风股份	11.12	4.71%	0.50	-0.27%		154262.07
300505	川金诺	32.93	4.71%	1.48	-0.27%		33792.74
600493	凤竹纺织	8.45	4.71%	0.38	0.60%		59512.49
002583	海能达	15.38	4.70%	0.69	-0.19%		358452.56
300528	幸福蓝海	13.20	4.68%	0.59	-0.08%		70842.80
002901	大博医疗	38.52	4.67%	1.72	0.08%		65625.37
300571	平治信息	48.82	4.65%	2.17	0.21%		11091.50
002701	奥瑞金	6.09	4.64%	0.27	-0.16%		233502.86
002129	中环股份	10.60	4.54%	0.46	0.09%		1045943.50
600712	南宁百货	7.87	4.52%	0.34	0.13%		31697.89
603131	上海沪工	21.15	4.50%	0.91	0.09%		25380.02
603505	金石资源	22.10	4.49%	0.95	0.68%		80723.37
300387	富邦股份	17.71	4.48%	0.76	0.34%		48045.17
300691	联合光电	70.71	4.45%	3.01	0.30%		10717.01
603238	诺邦股份	23.58	4.43%	1.00	0.38%		27924.27
300642	透景生命	93.51	4.40%	3.94	0.10%		10408.94
300059	东方财富	13.18	4.35%	0.55	0.30%		1779427.79
300556	丝路视觉	25.00	4.34%	1.04	-0.52%		109305.18
002180	纳思达	26.00	4.29%	1.07	0.04%		23438.85
600643	爱建集团	11.19	4.29%	0.46	0.00%		321201.23
300107	建新股份	7.32	4.27%	0.30	-0.14%		296203.80
002807	江阴银行	8.32	4.26%	0.34	0.24%		366144.83
300664	鹏鹞环保	25.99	4.25%	1.06	-0.23%		445549.47
300655	晶瑞股份	27.34	4.23%	1.11	0.11%		11356.83
002262	恩华药业	15.56	4.22%	0.63	0.00%		135134.60
002110	三钢闽光	22.33	4.20%	0.90	0.40%		402787.56
300184	力源信息	11.66	4.20%	0.47	0.34%		78098.89
300324	旋极信息	15.40	4.19%	0.62	-0.39%		178932.82
603906	龙蟠科技	16.17	4.19%	0.65	0.00%		49919.19
300687	赛意信息	48.96	4.17%	1.96	0.33%		12931.08
603380	易德龙	20.29	4.16%	0.81	0.10%		22029.24
603380	易德龙	20.29	4.16%	0.81	0.10%		22029.24
300297	蓝盾股份	9.56	4.14%	0.38	-0.10%		86991.88
002757	南兴装备	38.06	4.13%	1.51	0.18%		11799.94
002796	世嘉科技	32.55	4.13%	1.29	0.03%		21167.29
300554	三超新材	63.02	4.11%	2.49	0.06%		11098.00
300690	双一科技	57.00	4.11%	2.25	0.35%		9901.20
300718	长盛轴承	42.13	4.10%	1.66	0.14%		55154.65
603829	洛凯股份	21.60	4.10%	0.85	0.14%		144996.27
000155	川化股份	5.87	4.08%	0.23	0.34%		367422.16
000529	广弘控股	7.40	4.08%	0.29	0.14%		84987.39
300586	美联新材	26.35	4.07%	1.03	-0.19%		13397.86
300654	世纪天鸿	32.85	4.05%	1.28	0.92%		29401.69
300494	盛天网络	17.50	4.04%	0.68	0.69%		44286.56
300604	长川科技	51.70	4.02%	2.00	0.58%		11134.37
300661	圣邦股份	79.89	4.01%	3.08	0.01%		6887.37
000151	中成股份	12.75	4.00%	0.49	0.08%		44755.39
600776	东方通信	7.56	3.99%	0.29	-0.13%		152581.05
000728	国元证券	10.99	3.97%	0.42	0.00%		548680.83
300432	富临精工	18.13	3.96%	0.69	0.17%		23647.07
603861	白云电器	17.33	3.96%	0.66	-0.17%		21667.00
000776	广发证券	18.73	3.94%	0.71	0.05%		1366366.96
002673	西部证券	12.49	3.91%	0.47	0.00%		616239.49
300478	杭州高新	39.46	3.87%	1.47	-0.08%		33220.92
000936	华西股份	6.72	3.86%	0.25	0.00%		152953.87
603917	合力科技	30.73	3.85%	1.14	0.10%		119254.25
300365	恒华科技	34.60	3.84%	1.28	0.20%		54504.78
300535	达威股份	36.00	3.84%	1.33	1.29%		10991.00
300596	利安隆	17.83	3.78%	0.65	0.11%		16343.80
002718	友邦吊顶	45.98	3.77%	1.67	0.07%		4022.16
300274	阳光电源	16.55	3.76%	0.60	-0.06%		214427.18
300645	正元智慧	38.99	3.75%	1.41	0.15%		12789.55
300645	正元智慧	38.99	3.75%	1.41	0.15%		12789.55
000722	湖南发展	8.96	3.70%	0.32	-0.22%		30661.65
603788	宁波高发	35.87	3.70%	1.28	0.42%		15022.51
300058	蓝色光标	5.92	3.68%	0.21	0.00%		184930.33
300688	创业黑马	52.98	3.68%	1.88	-0.21%		19884.00
603260	合盛硅业	63.22	3.67%	2.24	0.29%		121662.33
300099	精准信息	5.94	3.66%	0.21	-0.17%		66538.05
300566	激智科技	39.98	3.66%	1.41	0.18%		11775.78
300729	乐歌股份	33.10	3.66%	1.17	-0.48%		50755.34
